"","X","taxon","sample.id","count","depth","thickness","age.older","age","age.younger","chronology.name","age.type","chronology.id","dataset.id","unit.name","site.id","site.name","long","lat","elev","description","long.acc","lat.acc","dataset.name","collection.type","collection.handle","dataset.type","ContactID","ContactName","submission.date","submission.type","genus","species","family","phylum","ne_10m_adm","ScaleRank","LabelRank","FeatureCla","OID_","SOVEREIGNT","SOV_A3","ADM0_DIF","LEVEL","TYPE","ADMIN","ADM0_A3","GEOU_DIF","GEOUNIT","GU_A3","SU_DIF","SUBUNIT","SU_A3","NAME","ABBREV","POSTAL","NAME_FORMA","TERR_","NAME_SORT","MAP_COLOR","POP_EST","GDP_MD_EST","FIPS_10_","ISO_A2","ISO_A3","ISO_N3","ISO3","LON","LAT","ISO3.1","ADMIN.1","REGION","continent","GEO3major","GEO3","IMAGE24","GLOCAF","Stern","SRESmajor","SRES","GBD","AVOIDnumeric","AVOIDname","LDC","SID","LLDC"
"11",11,"Alnus",23668,104,162,1,NA,2578,NA,"Sea and Whitlock 1995","Radiocarbon years BP",541,1148,NA,1114,"Indian Prairie Fen",-122.575,44.633333,988,"Fen in cirque valley. Physiography: Cascade Range. Surrounding vegetation: 2nd growth Pseudotsuga and Abies procera.",0,0,NA,"Core","INDIANPF","pollen",612,"Sea, Debra S.","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"12",12,"Alnus",317766,72,0,NA,NA,NA,NA,"No chronology",NA,NA,40640,NA,23519,"Wallbach Lenk",7.403056,46.428333,1885,"Mire in depression on mountain shoulder. Physiography: Mountain. Surrounding vegetation: Meadows, Picea towards E at alt. 1800 m.",0,0,"EPD E# 1173","Core","WALLB9","pollen",983,"Ammann, Brigitta","2018-10-18","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","CHE",1,2,"Adm-0 country",240,"Switzerland","CHE",0,2,"Sovereign country","Switzerland","CHE",0,"Switzerland","CHE",0,"Switzerland","CHE","Switzerland","Switz.","CH","Swiss Confederation",NA,"Switzerland",3,7604467,316700,0,"CH","CHE",756,"CHE",8.21538259993145,46.7990229334944,"CHE","Switzerland","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"13",13,"Alnus",9105,1,823,1,NA,24848,NA,"NAPD 1","Radiocarbon years BP",207,367,NA,358,"Cheyenne Bottoms",-98.666667,38.466667,547,"Shallow marsh in structural basin. Physiography: Cheyenne Bottoms wetland. Surrounding vegetation: Typha-Scirpus marsh/Chenopod mudflats.",0,0,NA,"Core","CHEYENNE","pollen",37,"Fredlund, Glen G.","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"14",14,"Alnus",149869,1,180,NA,7197,5868,3964,"Neotoma 1","Calibrated radiocarbon years BP",8429,15876,NA,10410,"Tulare Lake",-119.78,36.052,55,"At its historic maximum (AD 1770-1850), Tulare Lake was the largest body of fresh water in the United States west of the Mississippi. Diversion of inflowing streams for agriculture resulted in its demise. Surrounding vegetation (pre-settlement): Mosaic of grassland and oak savanna. Scirpus marsh lined the southern margin of the lake and saltbrush scrub covered much of the eastern and western margins.",0.359999999999999,0.233999999999995,NA,"Core","TULARECA","pollen",130,"Davis, Owen K.","2015-05-12","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"15",15,"Alnus",221205,104,270,NA,NA,4359,NA,"Heeb & Welten (1972)","Radiocarbon years BP",13044,22691,NA,14489,"Hängstli",7.833056,46.794167,1252,"Raised bog in rather good condition. Physiography: Moraine landscape.",0,0,NA,"Core","HANGSTLI","pollen",983,"Ammann, Brigitta","2017-11-05","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","CHE",1,2,"Adm-0 country",240,"Switzerland","CHE",0,2,"Sovereign country","Switzerland","CHE",0,"Switzerland","CHE",0,"Switzerland","CHE","Switzerland","Switz.","CH","Swiss Confederation",NA,"Switzerland",3,7604467,316700,0,"CH","CHE",756,"CHE",8.21538259993145,46.7990229334944,"CHE","Switzerland","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"16",16,"Alnus",356353,216,12,NA,NA,NA,NA,"No chronology",NA,NA,41676,NA,23972,"Maujahn",11.04408,53.0937,30,"Kettle hole bog. Surrounding vegetation: Forest and cultivated fields.",0,0,"EPD E# 1785","Section","MAUJAHN3","pollen",9734,"Lesemann, Brunhilt","2019-04-09","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","DEU",1,2,"Adm-0 country",135,"Germany","DEU",0,2,"Sovereign country","Germany","DEU",0,"Germany","DEU",0,"Germany","DEU","Germany","Ger.","D","Federal Republic of Germany",NA,"Germany",1,82329758,2918000,0,"DE","DEU",276,"DEU",10.3708281446481,51.0869722385768,"DEU","Germany","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",16,"Germany","other","other","other"
"18",18,"Alnus",434775,2,5699.3,NA,NA,88492,NA,"Monticchio composite chronology","Calendar years BP",33110,47525,"J32-o, 68",3295,"Lago Grande di Monticchio",15.605185,40.931235,656,"Lake. Physiography: explosion crater. Surrounding vegetation: Fagus sylvatica, Quercus cerris, Ilex.",0.00886999999999993,0.00744999999999862,NA,"Core","MONTICCHIO","pollen",106,"Watts, William A.","2020-03-31","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","ITA",1,2,"Adm-0 country",153,"Italy","ITA",0,2,"Sovereign country","Italy","ITA",0,"Italy","ITA",0,"Italy","ITA","Italy","Italy","I","Italian Republic",NA,"Italy",7,58126212,1823000,0,"IT","ITA",380,"ITA",12.1550687877391,43.5230213814372,"ITA","Italy","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",15,"Italy","other","other","other"
"19",19,"Alnus",391721,92,2023,NA,NA,304,NA,"C14 BP","Radiocarbon years BP",29616,45391,NA,26147,"Lake Verijärv",27.058333,57.808333,90,"Small lake. Physiography: Valley. Surrounding vegetation: Cultivated fields, forest.",0,0,"EPD E# 2567","Core","VER","pollen",9657,"Avel, Eve","2019-08-02","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","EST",1,2,"Adm-0 country",128,"Estonia","EST",0,2,"Sovereign country","Estonia","EST",0,"Estonia","EST",0,"Estonia","EST","Estonia","Est.","EST","Republic of Estonia",NA,"Estonia",10,1299371,27410,0,"EE","EST",233,"EST",25.8316012321046,58.6840076432827,"EST","Estonia","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern",25,"Europe","other","other","other"
"21",21,"Alnus",435888,1,880,1,NA,7996,NA,"Beffa et al. (2016)","Calendar years BP",33115,47537,NA,26995,"Sa Curcurica",9.78752,40.45547,0,"Two small inletsThe lake is surrounded by a hilly landscape mostly covered with pine afforestations (planted during the 20th century) and Oleo-Ceratonion maquis (Olea europaea var. sylvestris, Pistacia lentiscus, Juniperus phoenicea, Chamaerops humilis, Myrtus communis). Cultivated land with olive groves to the southeast of the lake. Exotic species (Eucalyptus, Opuntia ficus-barbarica, Acacia) occur throughout the area.",0,0,"Sa Curcurica pollen","Core","CURCURICA","pollen",15224,"van Leeuwen, Jacqueline F. N","2020-04-16","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","ITA",1,2,"Adm-0 country",153,"Italy","ITA",0,2,"Sovereign country","Italy","ITA",0,"Italy","ITA",0,"Italy","ITA","Italy","Italy","I","Italian Republic",NA,"Italy",7,58126212,1823000,0,"IT","ITA",380,"ITA",12.1550687877391,43.5230213814372,"ITA","Italy","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",15,"Italy","other","other","other"
"22",22,"Alnus",26816,1,45,NA,NA,69,NA,"NAPD 1","Radiocarbon years BP",616,1524,NA,1486,"Kitchner Lake",-87.455,45.666667,237,NA,0,0,NA,"Core","KITCHNER","pollen",734,"Woods, Kerry D.","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"23",23,"Alnus",177239,1,4,NA,NA,11954,NA,"EPD 1","Radiocarbon years BP",11674,20163,NA,13445,"Mariahout",5.545,51.523333,14,"Peat layer burried under cover sand. Physiography: Depression of unknown origine. Surrounding vegetation: Pine forest plantation.",0,0,NA,"Core","MARIAH","pollen",779,"Bohncke, Sjoerd J. P.","2016-07-24","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","NLD",1,6,"Adm-0 country",20,"Netherlands","NL1",0,2,"Country","Netherlands","NLD",0,"Netherlands","NLD",0,"Netherlands","NLD","Netherlands","Neth.","NL","Kingdom of the Netherlands",NA,"Netherlands",9,16715999,672000,0,"NL","NLD",528,"NLD",5.63956381350168,52.2821184205217,"NLD","Netherlands","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"24",24,"Alnus",16325,2,130,1,NA,9695,NA,"NAPD 1","Radiocarbon years BP",368,806,NA,786,"Ernst Brother's Pit",-88.041944,43.233056,244,"Sand and gravel pit in end moraine. Physiography: rolling end moraine.",0,0,NA,"Section","ERNSTPIT","pollen",67,"Maher, Louis J., Jr.","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"25",25,"Alnus",61174,2,13,0.8,NA,26,NA,"NAPD 1","Radiocarbon years BP",1446,3541,NA,1814,"Pogonia Bog Pond",-93.6305,45.03503,292,"Pond surrounded by Sphagnum/Larix fen. Physiography: Owatonna moraine complex. Surrounding vegetation: Ulmus/Acer/Cornus/Sphagnum/Typha/Lemna.",0.00651999999999475,0.00231999999999744,NA,"Core","PGONIABG","pollen",27,"Cushing, Edward J.","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"27",27,"Alnus",251744,28,205,NA,NA,2063,NA,"C14 BP","Radiocarbon years BP",15032,24859,NA,16099,"Oudon",-1.29361111111111,47.3555555555556,17,"Marsh. Physiography: riverine valley of le Hâvre river. Surrounding vegetation: cultivated fields and forest.",0,0,"OUDON","Core","OUDON","pollen",9909,"Cyprien, Anne-Laure","2018-02-21","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","FRA",1,2,"Adm-0 country",17,"France","FR1",0,2,"Country","France","FRA",0,"France","FRA",0,"France","FRA","France","Fr.","F","French Republic",NA,"France",11,64057792,2128000,0,"FR","FRA",250,"FRA",2.44987065601257,46.6221692058783,"FRA","France","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"28",28,"Alnus",334326,6,546,NA,NA,NA,NA,"No chronology",NA,NA,41289,NA,23825,"Osterholz",9.802565,52.13662,140,"Cromerian lake below till. Physiography: Floodplain of Leine river. Surrounding vegetation: Cultivated fields and forest.",0.0127299999999995,0.00444000000000244,"EPD E# 1799","Core","OSTERHOL","pollen",185,"Grüger, Eberhard","2019-02-27","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","DEU",1,2,"Adm-0 country",135,"Germany","DEU",0,2,"Sovereign country","Germany","DEU",0,"Germany","DEU",0,"Germany","DEU","Germany","Ger.","D","Federal Republic of Germany",NA,"Germany",1,82329758,2918000,0,"DE","DEU",276,"DEU",10.3708281446481,51.0869722385768,"DEU","Germany","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",16,"Germany","other","other","other"
"31",31,"Alnus",147913,6,829,1,8791,7760,7062,"Wang et al. 2019","Calibrated radiocarbon years BP",33583,15738,NA,10351,"Harris Lake",-109.90446,49.66656,1230,"Harris Lake is in a meltwater channel that formed approximately 12k years ago. Surrounding vegetation: North of the lake is mixed prairie, while a variety of other upland communities found in the Cypress Hills are also found near the lake.",0.00921999999999912,0.00536000000000314,NA,"Core","HARRISSK","pollen",6968,"Vetter, Mary A.","2015-04-23","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","CAN",1,2,"Adm-0 country",106,"Canada","CAN",0,2,"Sovereign country","Canada","CAN",0,"Canada","CAN",0,"Canada","CAN","Canada","Can.","CA",NA,NA,"Canada",2,33487208,1300000,0,"CA","CAN",124,"CAN",-102.355901829177,57.9392328262499,"CAN","Canada","North America","North America","North America","Canada","Canada","Canada","North America","OECD90","North America (NAM)","North America, High Income",9,"Canada","other","other","other"
"33",33,"Alnus",355851,375,15,1,NA,509,NA,"Author preferred","Radiocarbon years BP",25802,4120,NA,3167,"Jasiel",21.8875,49.3705,680,"Mesotrophic peat-bog. Physiography: nEN slope of a hill. Surrounding vegetation: degraded meadow and pasture communities.",0,0,"EPD E# 302","Core","JASIEL81","pollen",1268,"Szczepanek, Kazimierz","2019-04-08","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","POL",1,2,"Adm-0 country",208,"Poland","POL",0,2,"Sovereign country","Poland","POL",0,"Poland","POL",0,"Poland","POL","Poland","Pol.","PL","Republic of Poland",NA,"Poland",2,38482919,667900,0,"PL","POL",616,"POL",19.394451119772,52.1246717383064,"POL","Poland","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",17,"Poland","other","other","other"
"37",37,"Alnus",84107,129,105,NA,NA,NA,NA,"No chronology",NA,NA,4229,NA,3261,"Echternach",6.231389,49.799444,170,"Cow pasture. Physiography: flat peat bog. Surrounding vegetation: cultivated landscape.",0,0,NA,"Core","LUXECHT1","pollen",1030,"Coûteaux, Michel","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","LUX",1,5,"Adm-0 country",172,"Luxembourg","LUX",0,2,"Sovereign country","Luxembourg","LUX",0,"Luxembourg","LUX",0,"Luxembourg","LUX","Luxembourg","Lux.","L","Grand Duchy of Luxembourg",NA,"Luxembourg",7,491775,39370,0,"LU","LUX",442,"LUX",6.07176389067843,49.7668243730969,"LUX","Luxembourg","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"41",41,"Alnus",33109,22,369,1,NA,8193,NA,"NAPD 1","Radiocarbon years BP",776,1693,NA,1638,"Maligne Lake",-117.616667,52.733333,1675,"Kettle pond. Physiography: kame moraine complex. Surrounding vegetation: Typha/Pinus/Picea/Ledum/Vaccinium.",0,0,NA,"Core","MALIGNE","pollen",702,"Kearney, Michael S.","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","CAN",1,2,"Adm-0 country",106,"Canada","CAN",0,2,"Sovereign country","Canada","CAN",0,"Canada","CAN",0,"Canada","CAN","Canada","Can.","CA",NA,NA,"Canada",2,33487208,1300000,0,"CA","CAN",124,"CAN",-102.355901829177,57.9392328262499,"CAN","Canada","North America","North America","North America","Canada","Canada","Canada","North America","OECD90","North America (NAM)","North America, High Income",9,"Canada","other","other","other"
"42",42,"Alnus",327028,3,647.5,NA,NA,NA,NA,"No chronology",NA,NA,41021,NA,23711,"Döttingen",7.007222,50.349444,460,"Dry maar. Surrounding vegetation: Cultivated fields.",0,0,"EPD E# 1666","Core","DO3","pollen",13913,"Diehl, Markus","2018-12-20","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","DEU",1,2,"Adm-0 country",135,"Germany","DEU",0,2,"Sovereign country","Germany","DEU",0,"Germany","DEU",0,"Germany","DEU","Germany","Ger.","D","Federal Republic of Germany",NA,"Germany",1,82329758,2918000,0,"DE","DEU",276,"DEU",10.3708281446481,51.0869722385768,"DEU","Germany","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",16,"Germany","other","other","other"
